job_id,account,video_path,caption,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type,error_category,pass_number
YU8w62FIVodV-2.mp4_viral,castreelroom,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\YU8w62FIVodV-2.mp4,Living the dream or just really good at PowerPoint presentations?,success,0,2025-12-15T09:01:22.053062,2025-12-15T09:05:25.979418,,0,3,,,,
0sQz27aVEpv8-1.mp4_viral,bitepodstream,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\0sQz27aVEpv8-1.mp4,"Sure, because sleep is for the weak and definitely not crucial for human functioning.",success,1,2025-12-15T09:02:22.089852,2025-12-15T09:07:05.634580,,0,3,,,,
FPekQSoDWle2-2.mp4_viral,miccastreels,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\FPekQSoDWle2-2.mp4,"Some paths can't be retraced, but the horizon always holds a new story.",success,0,2025-12-15T11:44:43.826841,2025-12-15T11:47:12.040246,,0,3,,,,
_kvjtnftli0u-3.mp4_viral,talknipvault,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\_kvjtnftli0u-3.mp4,Sometimes our biggest lessons come from unexpected financial reality checks.,success,4,2025-12-15T11:55:34.489844,2025-12-15T11:58:54.350954,,1,3,,,,
vr4cLNWdbBoT-2.mp4_viral,snappoddaily,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\vr4cLNWdbBoT-2.mp4,broke the system and said bye bye to student loans while doctors cry in medical debt,success,1,2025-12-15T09:07:15.658212,2025-12-15T09:11:05.472835,,0,3,,,,
vptmXGt89w41-3.mp4_viral,podtalkvault,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\vptmXGt89w41-3.mp4,"Success isn't boughtit's built, one hustle at a time.",success,2,2025-12-15T09:09:02.282052,2025-12-15T09:13:55.525408,,0,3,,,,
HyiVtwn4YYXZ-1.mp4_viral,castcliplab,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\HyiVtwn4YYXZ-1.mp4,Doubt yourself no more. Your greatness is waiting. Are you ready to step up?,success,2,2025-12-15T11:46:43.797684,2025-12-15T11:55:26.560834,,0,3,,,,
hVjc3zj7H9sh-1.mp4_viral,podblinkclips,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\hVjc3zj7H9sh-1.mp4,"Love is about supporting each other's growth, not comparing wages.",success,0,2025-12-15T11:47:22.083736,2025-12-15T11:52:17.330038,,0,3,,,,
R6tDEkA5jsjR-4.mp4_viral,micstreamclips,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\R6tDEkA5jsjR-4.mp4,"Survival mode ain't personal, it's business. You're not ghosting, you're strategizing.",success,0,2025-12-15T13:28:37.353844,2025-12-15T13:32:56.250450,,0,3,,,,
cmhFs8rtQbWh-2.mp4_viral,castbitecore,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\cmhFs8rtQbWh-2.mp4,Dinner was quiet. The knife's first cut told a story of survival and quiet triumph.,success,1,2025-12-15T11:47:50.992930,2025-12-15T11:51:29.144963,,0,3,,,,
